epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.507,2.42448,4.81972,1.81291,0.71483,0.30599,0.22258,0.08813,2.13287,3.77035,1.6858,0.000150916,0.000150916,0.000150916
2,236.342,1.87363,2.51955,1.43203,0.7643,0.32733,0.30596,0.14112,1.84654,2.74819,1.51597,0.000242671,0.000242671,0.000242671
3,356.197,1.76796,2.11196,1.34719,0.78181,0.33476,0.31059,0.13946,1.77554,2.58704,1.46457,0.000274367,0.000274367,0.000274367
4,473.511,1.6656,2.01164,1.30282,0.5489,0.36819,0.34879,0.18393,1.67735,2.37597,1.37156,0.00018473,0.00018473,0.00018473
5,590.39,1.59458,1.85533,1.24951,0.56795,0.38403,0.36833,0.19608,1.58272,2.18831,1.33288,9.464e-05,9.464e-05,9.464e-05
