epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.593,2.25191,4.23447,2.00091,0.87361,0.19177,0.27028,0.11952,1.95455,4.04393,1.636,0.000468394,0.000468394,0.000468394
2,862.868,1.9045,2.91447,1.63928,0.64693,0.31836,0.38971,0.16939,2.05485,3.44394,1.8666,0.000897964,0.000897964,0.000897964
3,1290.51,1.81716,2.49233,1.59904,0.67785,0.43613,0.38953,0.17636,1.98132,3.15587,1.72103,0.00128038,0.00128038,0.00128038
4,1717.37,1.82181,2.34352,1.60042,0.74625,0.41312,0.4052,0.17831,1.94547,2.65731,1.82358,0.00121679,0.00121679,0.00121679
5,2146.53,1.76025,2.15156,1.54792,0.41151,0.46537,0.44397,0.18877,2.11034,3.32559,1.86117,0.00114606,0.00114606,0.00114606
6,2567.49,1.73676,2.01829,1.52447,0.74225,0.51759,0.45292,0.23143,1.73253,2.20363,1.56055,0.00107532,0.00107532,0.00107532
7,2991.92,1.72405,1.93007,1.51532,0.54,0.53999,0.49611,0.25915,1.78477,2.0943,1.53327,0.00100459,0.00100459,0.00100459
8,3414.39,1.69735,1.89431,1.5036,0.78821,0.56048,0.55104,0.2789,1.71642,1.96387,1.54881,0.000933851,0.000933851,0.000933851
9,3846.04,1.69807,1.7943,1.47997,0.54014,0.57658,0.53009,0.28323,1.74203,1.85489,1.45074,0.000863116,0.000863116,0.000863116
10,4308.81,1.653,1.759,1.47111,0.62465,0.53949,0.55892,0.27827,1.73636,1.79361,1.50372,0.00079238,0.00079238,0.00079238
11,4733.86,1.6617,1.71903,1.47767,0.56246,0.60038,0.57267,0.30374,1.6939,1.75043,1.48256,0.000721645,0.000721645,0.000721645
12,5168.07,1.62434,1.65992,1.47139,0.48637,0.55512,0.57669,0.31082,1.63841,1.66276,1.45318,0.000650909,0.000650909,0.000650909
13,5599.11,1.60309,1.60286,1.45563,0.67738,0.55957,0.5796,0.31302,1.66069,1.69552,1.43822,0.000580174,0.000580174,0.000580174
14,6038.21,1.59601,1.53595,1.43723,0.74708,0.59139,0.59576,0.33215,1.5924,1.67069,1.41791,0.000509438,0.000509438,0.000509438
15,6522.44,1.56278,1.49397,1.41803,0.81678,0.58245,0.58125,0.3192,1.62501,1.61586,1.42618,0.000438703,0.000438703,0.000438703
16,7003.26,1.54922,1.46953,1.40734,0.52528,0.63237,0.57368,0.30714,1.65656,1.6539,1.47375,0.000367967,0.000367967,0.000367967
17,7481.19,1.52169,1.40777,1.38948,0.55935,0.64328,0.60875,0.34259,1.5955,1.50688,1.40719,0.000297232,0.000297232,0.000297232
18,7954.03,1.52183,1.39111,1.38419,0.64421,0.60269,0.59904,0.33231,1.63027,1.48941,1.42535,0.000226497,0.000226497,0.000226497
19,8409.09,1.50714,1.34651,1.37204,0.53256,0.67483,0.62252,0.34917,1.63196,1.43601,1.40762,0.000155761,0.000155761,0.000155761
20,8862.4,1.49667,1.33364,1.36582,0.70023,0.62083,0.61823,0.34362,1.60842,1.43266,1.40304,8.50255e-05,8.50255e-05,8.50255e-05
