epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.638,2.49999,5.2342,2.16469,0.91502,0.04932,0.02226,0.00947,2.38296,6.92192,2.07791,0.000150916,0.000150916,0.000150916
2,743.476,2.16067,3.88018,1.81372,0.9534,0.07648,0.07862,0.03688,2.26334,4.27431,1.87805,0.000242671,0.000242671,0.000242671
3,1108.59,2.04414,3.47566,1.74049,0.85772,0.08801,0.08471,0.03969,2.13848,3.98963,1.81158,0.000274367,0.000274367,0.000274367
4,1540.82,1.98153,3.28292,1.69793,0.76967,0.09523,0.10096,0.05203,2.10231,3.6864,1.823,0.00018473,0.00018473,0.00018473
