epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.455,2.3379,4.29018,2.02978,0.00331,0.32428,0.133,0.06114,1.93272,4.25559,1.67858,0.000409836,0.000409836,0.000409836
2,891.65,2.05207,3.09668,1.71565,0.54695,0.24709,0.31804,0.13355,2.11627,3.594,1.77978,0.000785591,0.000785591,0.000785591
3,1323.25,1.96094,2.65265,1.66704,0.76738,0.36061,0.28733,0.13218,2.08957,3.06469,1.8108,0.0011201,0.0011201,0.0011201
4,1753.82,1.92648,2.41621,1.65156,0.72215,0.35047,0.2841,0.13401,2.10758,2.96352,1.79113,0.00106437,0.00106437,0.00106437
5,2177.45,1.8956,2.2784,1.62864,0.52442,0.31108,0.32401,0.14754,2.1622,2.7008,1.84232,0.0010025,0.0010025,0.0010025
6,2625.48,1.8803,2.18069,1.59353,0.55191,0.41158,0.39735,0.20206,1.97273,2.54198,1.69144,0.000940625,0.000940625,0.000940625
7,3059.36,1.84951,2.14147,1.56813,0.44978,0.41726,0.41463,0.22031,1.91105,2.24173,1.62763,0.00087875,0.00087875,0.00087875
8,3500.73,1.82992,2.04379,1.57029,0.62919,0.41691,0.3933,0.19907,1.96348,2.16434,1.6744,0.000816875,0.000816875,0.000816875
9,3936.86,1.76139,1.95349,1.52421,0.82289,0.4213,0.42504,0.23226,1.88283,2.16033,1.62563,0.000755,0.000755,0.000755
10,4368.3,1.77903,1.88702,1.5399,0.45825,0.46865,0.42181,0.21927,1.85675,2.07448,1.59668,0.000693125,0.000693125,0.000693125
11,4809.3,1.77606,1.92907,1.55559,0.58756,0.44567,0.44817,0.2306,1.84686,2.02961,1.5852,0.00063125,0.00063125,0.00063125
12,5234.45,1.74549,1.80085,1.52345,0.41929,0.51671,0.47734,0.24901,1.85985,1.90449,1.59149,0.000569375,0.000569375,0.000569375
13,5665.06,1.73355,1.78543,1.5193,0.77093,0.42344,0.47345,0.2613,1.77932,1.85015,1.52322,0.0005075,0.0005075,0.0005075
14,6111.33,1.70379,1.74225,1.49634,0.39806,0.53567,0.47935,0.26126,1.82018,1.84845,1.5412,0.000445625,0.000445625,0.000445625
15,6546.95,1.68709,1.69138,1.47685,0.42105,0.5393,0.47446,0.25372,1.7832,1.81295,1.52929,0.00038375,0.00038375,0.00038375
16,6979.92,1.66268,1.66465,1.47958,0.42294,0.52058,0.48547,0.26184,1.76702,1.78516,1.51641,0.000321875,0.000321875,0.000321875
17,7412.99,1.65172,1.61661,1.45966,0.45702,0.55264,0.50803,0.26888,1.78289,1.72411,1.51287,0.00026,0.00026,0.00026
18,7846.14,1.62602,1.5957,1.44194,0.50849,0.55722,0.50925,0.27305,1.7579,1.70205,1.50801,0.000198125,0.000198125,0.000198125
19,8272.68,1.62106,1.57569,1.43388,0.45303,0.54552,0.49789,0.27243,1.72509,1.7201,1.49374,0.00013625,0.00013625,0.00013625
20,8707.54,1.60116,1.54444,1.43068,0.46021,0.5458,0.5064,0.27465,1.73176,1.68553,1.50335,7.4375e-05,7.4375e-05,7.4375e-05
