epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.987,2.24409,3.67694,1.71327,0.76729,0.23893,0.20821,0.09255,1.88416,3.07221,1.61886,0.0003685,0.0003685,0.0003685
2,242.18,1.83587,2.23291,1.43461,0.80507,0.24113,0.21488,0.089,1.81444,2.5428,1.59165,0.000592544,0.000592544,0.000592544
3,362.439,1.75489,2.04117,1.43053,0.7924,0.30115,0.22833,0.12213,1.78894,2.34594,1.54802,0.000669937,0.000669937,0.000669937
4,483.037,1.70784,1.93762,1.38121,0.83875,0.31389,0.28471,0.14572,1.60612,2.32025,1.41467,0.000451066,0.000451066,0.000451066
5,606.995,1.62144,1.75987,1.31204,0.84068,0.32957,0.29483,0.15722,1.59081,2.09138,1.40012,0.000231088,0.000231088,0.000231088
