epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.387,2.23723,4.62132,1.6797,0.71497,0.33928,0.23721,0.10672,2.01458,3.26907,1.52142,0.000150543,0.000150543,0.000150543
2,226.124,1.86208,2.45753,1.38769,0.77383,0.40865,0.32643,0.16271,1.71485,2.46448,1.34387,0.000242372,0.000242372,0.000242372
3,336.038,1.72889,2.06009,1.31044,0.77176,0.39597,0.33174,0.17017,1.63286,2.44861,1.33427,0.000274141,0.000274141,0.000274141
4,446.578,1.63476,1.93099,1.25123,0.55179,0.41871,0.35552,0.1861,1.59693,2.20851,1.29516,0.00018473,0.00018473,0.00018473
5,559.484,1.6114,1.81007,1.23833,0.56741,0.39507,0.38609,0.20714,1.56987,2.06224,1.28577,9.464e-05,9.464e-05,9.464e-05
