epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.671,2.68006,4.85347,1.97693,0.87209,0.0731,0.05056,0.019,2.44058,4.59878,1.84527,0.000150916,0.000150916,0.000150916
2,242.911,2.26621,3.38387,1.62153,0.95122,0.07135,0.07232,0.03173,2.33148,3.35609,1.70665,0.000242671,0.000242671,0.000242671
3,363.355,2.1575,3.0105,1.5414,0.91388,0.07976,0.08041,0.03991,2.22958,3.1137,1.61896,0.000274367,0.000274367,0.000274367
4,482.219,2.09485,2.84909,1.47484,0.82305,0.0888,0.09536,0.04688,2.15576,2.97166,1.5628,0.00018473,0.00018473,0.00018473
5,603.898,1.99061,2.60558,1.41269,0.7446,0.11409,0.10885,0.05257,2.1198,2.77343,1.50504,9.464e-05,9.464e-05,9.464e-05
