epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,565.801,2.42934,5.11738,2.31248,0.00171,0.28029,0.01824,0.00593,2.29211,4.97275,2.15997,0.0702479,0.00330579,0.00330579
2,1128.83,2.06863,3.87198,1.93771,0.70413,0.22145,0.17787,0.07058,2.45211,4.03288,2.37894,0.0398098,0.00620094,0.00620094
3,1689.77,2.04608,3.21317,1.84464,0.62602,0.01543,0.01778,0.00697,2.7617,4.57435,2.42397,0.00893157,0.00865609,0.00865609
4,2265.09,2.02034,2.9607,1.83409,0.80463,0.28642,0.30316,0.1442,2.1118,3.09233,1.98527,0.00802,0.00802,0.00802
5,2882.45,1.95942,2.70415,1.77938,0.74544,0.36121,0.32254,0.15022,2.07208,3.05202,2.04855,0.00736,0.00736,0.00736
6,3529.24,1.9278,2.73831,1.87226,0.75526,0.26518,0.25347,0.11562,2.33201,3.19778,2.224,0.0067,0.0067,0.0067
7,4169.38,1.90529,2.53737,1.8427,0.59371,0.4012,0.37778,0.18451,2.04984,2.65082,1.9936,0.00604,0.00604,0.00604
8,4768.46,1.87565,2.41109,1.80504,0.4165,0.10144,0.10517,0.05335,2.67403,4.04878,2.35516,0.00538,0.00538,0.00538
9,5368.37,1.82383,2.24662,1.78405,0.84877,0.43458,0.43305,0.23779,1.90785,2.27514,1.83356,0.00472,0.00472,0.00472
10,5961.65,1.79374,2.1511,1.74365,0.37028,0.32492,0.30217,0.14511,2.0762,2.83032,2.02304,0.00406,0.00406,0.00406
11,6522.1,1.77657,2.09314,1.73828,0.45959,0.4567,0.42844,0.21997,1.90278,2.30971,1.82539,0.0034,0.0034,0.0034
12,7083.67,1.74834,1.97529,1.68832,0.45385,0.4829,0.46199,0.25337,1.86342,2.12567,1.79936,0.00274,0.00274,0.00274
13,7645.28,1.72931,1.96314,1.67673,0.45901,0.47746,0.46559,0.26858,1.82453,2.12216,1.75688,0.00208,0.00208,0.00208
14,8205.06,1.69635,1.91769,1.66435,0.50353,0.50542,0.46476,0.26466,1.76992,1.99153,1.71923,0.00142,0.00142,0.00142
15,8762.65,1.68063,1.8748,1.64906,0.47359,0.48716,0.46695,0.25904,1.80331,2.02587,1.74974,0.00076,0.00076,0.00076
