epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.572,2.24028,4.1578,1.95013,0.71045,0.13989,0.27031,0.1053,1.99585,4.17394,1.74262,0.000468394,0.000468394,0.000468394
2,952.761,1.89741,2.87016,1.62581,0.66724,0.30946,0.27491,0.12708,2.08052,3.49514,1.75792,0.000897964,0.000897964,0.000897964
3,1401.15,1.85303,2.55837,1.60827,0.27513,0.31798,0.22096,0.08848,2.12799,3.46332,1.77632,0.00128038,0.00128038,0.00128038
4,1847.28,1.80766,2.2779,1.53332,0.68219,0.4281,0.37846,0.18509,1.91856,2.73042,1.65289,0.00121679,0.00121679,0.00121679
5,2291.56,1.78448,2.14969,1.54202,0.77473,0.50912,0.44391,0.21071,1.81741,2.36093,1.62957,0.00114606,0.00114606,0.00114606
6,2746.34,1.77129,2.04359,1.52628,0.66335,0.29903,0.28875,0.12425,2.14758,2.91521,1.77058,0.00107532,0.00107532,0.00107532
7,3206.94,1.7201,1.94608,1.4861,0.52527,0.57115,0.53091,0.26656,1.88587,2.05053,1.57572,0.00100459,0.00100459,0.00100459
8,3686.86,1.71614,1.85968,1.46889,0.41824,0.58978,0.50511,0.26653,1.72603,1.96672,1.47791,0.000933851,0.000933851,0.000933851
9,4136.06,1.67083,1.7681,1.44002,0.52214,0.59325,0.53398,0.27354,1.761,1.86226,1.52061,0.000863116,0.000863116,0.000863116
10,4588.85,1.6457,1.71948,1.43204,0.7992,0.53968,0.53204,0.28171,1.70622,1.77157,1.42315,0.00079238,0.00079238,0.00079238
11,5009.6,1.65871,1.72401,1.43958,0.5622,0.58637,0.58915,0.31206,1.69516,1.71136,1.44494,0.000721645,0.000721645,0.000721645
12,5443.57,1.60968,1.62891,1.43153,0.59611,0.57336,0.5924,0.30953,1.72043,1.64467,1.49868,0.000650909,0.000650909,0.000650909
13,5878.15,1.60714,1.56183,1.42229,0.52878,0.6168,0.58138,0.29945,1.65363,1.73735,1.44879,0.000580174,0.000580174,0.000580174
14,6315.15,1.58149,1.51742,1.39974,0.50802,0.65231,0.57806,0.29632,1.71206,1.70146,1.47775,0.000509438,0.000509438,0.000509438
15,6741.82,1.56642,1.4747,1.38975,0.56457,0.66144,0.60967,0.33041,1.65775,1.50192,1.40994,0.000438703,0.000438703,0.000438703
16,7169.82,1.56424,1.42687,1.37639,0.54637,0.66576,0.59722,0.33034,1.6409,1.54895,1.39257,0.000367967,0.000367967,0.000367967
17,7603.08,1.53458,1.42464,1.35531,0.84059,0.58174,0.61541,0.32913,1.64916,1.48492,1.39815,0.000297232,0.000297232,0.000297232
18,8033.75,1.50841,1.39154,1.35003,0.57416,0.67459,0.61641,0.34548,1.64109,1.46004,1.407,0.000226497,0.000226497,0.000226497
19,8462.37,1.50861,1.35308,1.35079,0.58587,0.67945,0.63625,0.34868,1.61368,1.42636,1.38441,0.000155761,0.000155761,0.000155761
20,8910.46,1.49399,1.33799,1.34183,0.60031,0.65681,0.62415,0.35077,1.61503,1.44113,1.38645,8.50255e-05,8.50255e-05,8.50255e-05
