epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.077,2.36908,4.47368,2.08824,0.00578,0.45793,0.17497,0.07112,2.29214,4.65543,1.93064,0.000409836,0.000409836,0.000409836
2,1035.66,2.04456,3.20062,1.73302,0.51267,0.18743,0.21091,0.09927,2.16465,3.90502,1.77717,0.000793773,0.000793773,0.000793773
3,1546.96,1.97049,2.74647,1.67782,0.50631,0.38476,0.29705,0.14374,2.09321,3.15785,1.91646,0.00114471,0.00114471,0.00114471
4,2057.97,1.95934,2.58648,1.67664,0.3169,0.37621,0.31975,0.15461,2.08141,2.75913,1.75354,0.0011015,0.0011015,0.0011015
5,2573.24,1.91878,2.3863,1.63522,0.30891,0.34786,0.35673,0.16068,2.10632,2.68046,1.77901,0.001052,0.001052,0.001052
6,3079.58,1.87406,2.2784,1.59426,0.45674,0.34173,0.35067,0.16757,2.08552,2.55078,1.76555,0.0010025,0.0010025,0.0010025
7,3595.05,1.82238,2.1375,1.56347,0.5873,0.36773,0.35122,0.17265,2.06527,2.41769,1.77371,0.000953,0.000953,0.000953
8,4143.43,1.83483,2.10203,1.58723,0.45204,0.39436,0.37471,0.18047,1.99803,2.42582,1.71355,0.0009035,0.0009035,0.0009035
9,4804,1.81298,2.02625,1.55176,0.54426,0.41165,0.37227,0.19471,1.97226,2.26378,1.63715,0.000854,0.000854,0.000854
10,5463.51,1.7789,1.95115,1.52058,0.47739,0.44579,0.44402,0.22773,1.94982,2.13405,1.63531,0.0008045,0.0008045,0.0008045
11,5982.7,1.80394,1.96306,1.53721,0.79351,0.42696,0.45287,0.22896,1.85634,2.05149,1.57529,0.000755,0.000755,0.000755
12,6511.86,1.73616,1.84961,1.49811,0.45236,0.50492,0.4724,0.25049,1.90305,1.88878,1.59926,0.0007055,0.0007055,0.0007055
13,7141.49,1.72736,1.82623,1.47821,0.4721,0.49849,0.45891,0.24673,1.85272,1.91769,1.57652,0.000656,0.000656,0.000656
14,7679.27,1.7322,1.80855,1.48647,0.44635,0.50674,0.4522,0.23081,1.94099,1.99602,1.62942,0.0006065,0.0006065,0.0006065
15,8227.18,1.72238,1.79133,1.48845,0.5224,0.50282,0.46097,0.25231,1.83877,1.87051,1.59558,0.000557,0.000557,0.000557
16,8789.19,1.71197,1.80078,1.50806,0.68811,0.45187,0.45169,0.23178,1.85732,1.89005,1.59298,0.0005075,0.0005075,0.0005075
17,9322.29,1.71178,1.71852,1.52205,0.55888,0.48095,0.48409,0.25642,1.80856,1.81346,1.53575,0.000458,0.000458,0.000458
18,9845.46,1.68329,1.68795,1.46881,0.55083,0.49438,0.48618,0.25069,1.86024,1.76328,1.5699,0.0004085,0.0004085,0.0004085
19,10384.4,1.6517,1.64006,1.44616,0.43214,0.52294,0.48244,0.26402,1.78556,1.75763,1.50445,0.000359,0.000359,0.000359
