epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.387,2.41544,4.97758,1.81924,0.82524,0.16216,0.10614,0.04122,1.9456,4.31427,1.38236,0.000150262,0.000150262,0.000150262
2,211.661,1.86356,2.62891,1.36913,0.81627,0.36294,0.35783,0.1562,1.9079,2.50192,1.43251,0.000242147,0.000242147,0.000242147
3,316.533,1.77247,2.14865,1.33455,0.77074,0.36749,0.32393,0.15577,1.69903,2.28836,1.32836,0.000273972,0.000273972,0.000273972
4,421.529,1.65874,1.92736,1.27097,0.55026,0.36492,0.37057,0.20093,1.62732,2.0737,1.27116,0.00018473,0.00018473,0.00018473
5,524.54,1.5816,1.77873,1.20543,0.54278,0.4221,0.37044,0.20073,1.57853,1.93452,1.25768,9.464e-05,9.464e-05,9.464e-05
