epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.123,2.22603,3.48644,1.68127,0.75236,0.30656,0.26091,0.1091,1.94549,4.3107,1.72912,0.000414604,0.000414604,0.000414604
2,238.954,1.84266,2.22734,1.42917,0.76952,0.29128,0.28084,0.12245,1.84544,2.68832,1.54157,0.000666679,0.000666679,0.000666679
3,358.495,1.73926,2.0112,1.36881,0.73276,0.39576,0.28546,0.13227,1.72301,2.82463,1.47638,0.000753754,0.000753754,0.000753754
4,476.605,1.69491,1.90351,1.35573,0.80712,0.38315,0.34267,0.17246,1.68826,2.07729,1.43957,0.0005075,0.0005075,0.0005075
5,593.54,1.61357,1.75015,1.30479,0.85286,0.36242,0.37997,0.20319,1.56149,1.94492,1.35934,0.00026,0.00026,0.00026
