epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.487,2.15041,2.68869,1.73337,0.52833,0.21876,0.15094,0.07498,2.01332,2.47772,1.93026,0.0003685,0.0003685,0.0003685
2,1139.99,1.90977,2.05057,1.57734,0.55548,0.19409,0.15471,0.06534,2.23781,2.52274,1.94541,0.000592544,0.000592544,0.000592544
3,2673.42,1.86915,1.94194,1.55515,0.78821,0.22513,0.17846,0.08041,2.03935,2.37361,1.88652,0.000669937,0.000669937,0.000669937
4,3263.03,1.78159,1.82247,1.51141,0.60093,0.30361,0.26315,0.13016,1.91592,1.90593,1.79868,0.000451066,0.000451066,0.000451066
5,3875.79,1.70458,1.67292,1.43576,0.63279,0.31785,0.28,0.14235,1.77358,1.75144,1.68998,0.000231088,0.000231088,0.000231088
