epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.847,2.0414,4.27679,1.88756,0.82654,0.19321,0.24689,0.093,1.71082,4.311,1.63349,0.000410539,0.000410539,0.000410539
2,962.109,1.70292,2.79789,1.56471,0.78092,0.31734,0.33783,0.16822,1.55654,3.25208,1.54145,0.00077261,0.00077261,0.00077261
3,1442.41,1.66032,2.45935,1.55193,0.78937,0.40634,0.32768,0.16562,1.78759,2.98731,1.82108,0.00107968,0.00107968,0.00107968
4,1932.12,1.63724,2.21098,1.53132,0.65833,0.36437,0.32043,0.14663,1.60275,2.60286,1.60812,0.0010025,0.0010025,0.0010025
5,2492.89,1.59081,2.0688,1.5083,0.79966,0.36092,0.3895,0.19535,1.58278,2.01327,1.53335,0.00092,0.00092,0.00092
6,3052.54,1.55763,1.96,1.51145,0.62027,0.39521,0.38613,0.18592,1.60291,1.95444,1.59288,0.0008375,0.0008375,0.0008375
7,3622.55,1.53358,1.79621,1.47417,0.63067,0.44746,0.40997,0.21232,1.49234,1.71161,1.48395,0.000755,0.000755,0.000755
8,4185.82,1.52152,1.68014,1.44205,0.64346,0.45268,0.43782,0.2312,1.54451,1.66407,1.46033,0.0006725,0.0006725,0.0006725
9,4717.76,1.47745,1.58193,1.41586,0.66066,0.4621,0.44498,0.22509,1.56939,1.67692,1.48363,0.00059,0.00059,0.00059
10,5266.47,1.47819,1.53661,1.40926,0.66773,0.46367,0.47665,0.25238,1.44678,1.58623,1.43504,0.0005075,0.0005075,0.0005075
11,5816.55,1.42803,1.46717,1.37857,0.6234,0.51578,0.4799,0.2655,1.49546,1.49572,1.39835,0.000425,0.000425,0.000425
12,6378.54,1.43382,1.41805,1.36369,0.69658,0.50287,0.485,0.25657,1.52076,1.47326,1.45981,0.0003425,0.0003425,0.0003425
13,6890.98,1.42569,1.37224,1.36084,0.54275,0.51615,0.47729,0.26472,1.46327,1.46091,1.37215,0.00026,0.00026,0.00026
14,7392.62,1.38728,1.32424,1.33445,0.43341,0.52201,0.49259,0.27554,1.48963,1.44165,1.41045,0.0001775,0.0001775,0.0001775
15,7884.39,1.38913,1.29374,1.33654,0.45532,0.53589,0.50947,0.28253,1.45845,1.34791,1.36153,9.5e-05,9.5e-05,9.5e-05
