epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.28,1.80475,2.25455,1.3294,0.81339,0.38788,0.3665,0.17703,1.66538,2.10594,1.29057,0.000150262,0.000150262,0.000150262
2,213.983,1.66239,1.92668,1.23917,0.75677,0.40835,0.34625,0.18295,1.6638,2.03429,1.27923,0.000242147,0.000242147,0.000242147
3,319.218,1.66935,1.89377,1.24894,0.54319,0.40432,0.34246,0.17565,1.59497,2.04269,1.23933,0.000273972,0.000273972,0.000273972
4,424.211,1.58639,1.77344,1.20848,0.57838,0.3816,0.36017,0.19289,1.55518,1.84698,1.21942,0.00018473,0.00018473,0.00018473
5,529.568,1.54281,1.65573,1.17341,0.57512,0.39852,0.3831,0.20538,1.52585,1.75418,1.18596,9.464e-05,9.464e-05,9.464e-05
