epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.783,2.43107,5.0307,1.82155,0.8401,0.10811,0.0827,0.03757,1.85463,4.39132,1.47006,0.000149981,0.000149981,0.000149981
2,407.804,1.8876,2.59145,1.38844,0.78657,0.36313,0.32386,0.15149,1.83989,2.60835,1.4312,0.000241922,0.000241922,0.000241922
3,606.512,1.7172,2.01706,1.31153,0.77847,0.36754,0.34245,0.17479,1.75475,2.27246,1.40122,0.000273802,0.000273802,0.000273802
4,805.168,1.62248,1.88454,1.24735,0.81302,0.39161,0.37772,0.20113,1.63791,2.1158,1.31613,0.00018473,0.00018473,0.00018473
5,1000.26,1.56749,1.75104,1.21745,0.56012,0.41129,0.37549,0.19597,1.59115,2.10506,1.27509,9.464e-05,9.464e-05,9.464e-05
