epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.545,2.37794,4.19388,1.86567,0.86831,0.10866,0.10365,0.04573,2.03839,3.69789,1.82285,0.000255064,0.000255064,0.000255064
2,247.28,1.96184,2.61359,1.54224,0.87701,0.16245,0.1205,0.05487,1.95442,2.99009,1.61735,0.000410141,0.000410141,0.000410141
3,373.84,1.85172,2.38061,1.46851,0.88986,0.16189,0.16017,0.07545,1.86162,2.7087,1.6591,0.00046371,0.00046371,0.00046371
4,494.735,1.79439,2.24318,1.44549,0.91069,0.16964,0.18893,0.08788,1.82922,2.39844,1.56131,0.000312214,0.000312214,0.000312214
5,618.305,1.72481,2.11838,1.38914,0.59286,0.2326,0.20197,0.09853,1.74998,2.32271,1.54797,0.000159952,0.000159952,0.000159952
