epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.99,2.44185,5.03585,1.84219,0.87786,0.04954,0.09533,0.04561,1.82884,4.64203,1.43574,0.000149981,0.000149981,0.000149981
2,414.906,1.8945,2.65166,1.39822,0.76562,0.35657,0.31439,0.15337,1.78103,2.48331,1.38505,0.000241922,0.000241922,0.000241922
3,615.509,1.72931,2.05934,1.30054,0.76634,0.3451,0.29285,0.13266,1.85453,2.52413,1.41062,0.000273802,0.000273802,0.000273802
4,816.283,1.65624,1.89886,1.26258,0.77931,0.40568,0.3726,0.20051,1.57398,2.26701,1.25432,0.00018473,0.00018473,0.00018473
5,1019.42,1.55538,1.7546,1.19909,0.7978,0.40253,0.38163,0.2039,1.60036,2.3224,1.28574,9.464e-05,9.464e-05,9.464e-05
