epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.539,2.3379,4.29018,2.02978,0.00331,0.32428,0.133,0.06114,1.93272,4.25559,1.67858,0.000409836,0.000409836,0.000409836
2,970.861,2.03777,3.08689,1.72384,0.46729,0.19687,0.18356,0.07175,2.31343,3.92949,1.93523,0.000799228,0.000799228,0.000799228
3,1442.87,1.99397,2.69518,1.69339,0.55353,0.38766,0.32479,0.13189,2.1277,3.04175,1.82352,0.00116112,0.00116112,0.00116112
4,1909.58,1.94727,2.47219,1.6671,0.35196,0.32578,0.27969,0.13343,2.14617,2.90281,1.83632,0.00112625,0.00112625,0.00112625
5,2346.5,1.89571,2.33578,1.64192,0.81555,0.3707,0.35929,0.17444,2.03915,2.52865,1.7363,0.001085,0.001085,0.001085
6,2782.25,1.87358,2.21449,1.60517,0.38399,0.35924,0.27142,0.13037,2.214,3.01403,1.87221,0.00104375,0.00104375,0.00104375
7,3236.54,1.83538,2.1408,1.58546,0.8433,0.39356,0.39384,0.18194,2.04034,2.32789,1.76962,0.0010025,0.0010025,0.0010025
8,3681.33,1.84869,2.06177,1.58568,0.48911,0.42744,0.41586,0.21763,1.86911,2.15009,1.63899,0.00096125,0.00096125,0.00096125
9,4130.17,1.76715,1.98194,1.55034,0.83134,0.41541,0.42903,0.22097,1.89527,2.17855,1.68313,0.00092,0.00092,0.00092
10,4579.5,1.79165,1.92699,1.56161,0.49575,0.4598,0.43256,0.22124,1.88731,2.06456,1.63014,0.00087875,0.00087875,0.00087875
11,5053.56,1.79033,1.91744,1.53042,0.48165,0.51089,0.45849,0.24871,1.8663,2.00698,1.61168,0.0008375,0.0008375,0.0008375
12,5547.17,1.76891,1.87241,1.51335,0.66771,0.4384,0.43826,0.2234,1.90872,2.02867,1.62127,0.00079625,0.00079625,0.00079625
13,6059.49,1.7576,1.83187,1.52123,0.48164,0.48691,0.4568,0.24255,1.87975,1.97698,1.64536,0.000755,0.000755,0.000755
14,6521.95,1.77096,1.8484,1.53404,0.56621,0.47739,0.47421,0.25519,1.81222,2.1629,1.60698,0.00071375,0.00071375,0.00071375
15,7041.7,1.72748,1.79704,1.50154,0.37412,0.49056,0.43234,0.21341,1.93254,1.97273,1.64766,0.0006725,0.0006725,0.0006725
16,7538.01,1.72344,1.75543,1.50241,0.82722,0.41921,0.46369,0.24805,1.81041,1.94804,1.57945,0.00063125,0.00063125,0.00063125
17,8019.05,1.70189,1.73391,1.48422,0.58788,0.41846,0.43072,0.22683,1.86465,1.98763,1.61965,0.00059,0.00059,0.00059
18,8520.62,1.69187,1.71467,1.48483,0.73563,0.47106,0.45575,0.24642,1.80307,1.95549,1.53988,0.00054875,0.00054875,0.00054875
19,8992.93,1.69299,1.68248,1.4665,0.58236,0.50421,0.49266,0.26389,1.81554,1.84754,1.57137,0.0005075,0.0005075,0.0005075
20,9465.78,1.66393,1.70728,1.4597,0.40079,0.5178,0.47406,0.25919,1.81179,1.84539,1.57743,0.00046625,0.00046625,0.00046625
21,9942.9,1.68463,1.67832,1.47689,0.72091,0.46243,0.49636,0.27715,1.79884,1.77085,1.54361,0.000425,0.000425,0.000425
22,10439.6,1.65037,1.6041,1.46773,0.46884,0.56596,0.50954,0.27375,1.75939,1.68538,1.52576,0.00038375,0.00038375,0.00038375
23,10939,1.65072,1.56965,1.46514,0.50981,0.5273,0.49398,0.25945,1.78485,1.75715,1.56787,0.0003425,0.0003425,0.0003425
24,11424.1,1.62657,1.53739,1.45524,0.45793,0.52749,0.49276,0.26074,1.78799,1.73019,1.53227,0.00030125,0.00030125,0.00030125
25,11907.6,1.62375,1.53665,1.45621,0.57057,0.53917,0.50349,0.26523,1.77325,1.72524,1.55063,0.00026,0.00026,0.00026
26,12411.6,1.60035,1.50419,1.43604,0.49369,0.54572,0.52102,0.28672,1.75681,1.6952,1.52397,0.00021875,0.00021875,0.00021875
27,13001.3,1.58257,1.48299,1.41222,0.53754,0.55575,0.51012,0.28173,1.76555,1.67741,1.52654,0.0001775,0.0001775,0.0001775
28,13543.7,1.58744,1.46136,1.42558,0.44825,0.56121,0.50839,0.28318,1.77027,1.61998,1.5208,0.00013625,0.00013625,0.00013625
29,14069.3,1.5721,1.45004,1.41657,0.51286,0.53018,0.51743,0.28034,1.76477,1.61198,1.52064,9.5e-05,9.5e-05,9.5e-05
30,14507.2,1.55559,1.42612,1.39853,0.46891,0.56162,0.51285,0.2867,1.75091,1.59315,1.50936,5.375e-05,5.375e-05,5.375e-05
