epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,497.847,2.31387,4.19859,1.9642,0.79572,0.13176,0.12557,0.04749,2.0662,4.20991,1.84725,0.000411392,0.000411392,0.000411392
2,985.988,2.01941,2.85107,1.65251,0.35884,0.05874,0.06511,0.02868,2.57695,12.1652,2.18196,0.000773407,0.000773407,0.000773407
3,1470.27,1.98965,2.60123,1.6276,0.77226,0.35172,0.2984,0.12483,2.0921,2.75317,1.71355,0.00108042,0.00108042,0.00108042
4,1943.1,1.93726,2.40188,1.60781,0.3682,0.38366,0.32943,0.16922,2.0253,2.65691,1.70781,0.0010025,0.0010025,0.0010025
5,2411.56,1.90365,2.26353,1.58414,0.79092,0.35863,0.32658,0.16149,1.96162,2.61188,1.65757,0.00092,0.00092,0.00092
6,2900.56,1.87095,2.2884,1.61923,0.34255,0.36225,0.3644,0.18098,1.93146,2.39604,1.63617,0.0008375,0.0008375,0.0008375
7,3367.45,1.84125,2.05124,1.56649,0.46105,0.42318,0.38746,0.19445,1.92451,2.17916,1.68124,0.000755,0.000755,0.000755
8,3836.76,1.79823,1.95977,1.54728,0.39473,0.45528,0.40845,0.21139,1.88473,2.05904,1.5827,0.0006725,0.0006725,0.0006725
9,4302.89,1.77584,1.90425,1.52024,0.82421,0.38784,0.41915,0.21717,1.85005,2.01112,1.5528,0.00059,0.00059,0.00059
10,4813.45,1.75743,1.85911,1.49535,0.68337,0.43781,0.44491,0.22821,1.86313,1.90284,1.55899,0.0005075,0.0005075,0.0005075
11,5291.8,1.72005,1.80401,1.47999,0.45313,0.48203,0.44435,0.23465,1.83004,1.87513,1.55183,0.000425,0.000425,0.000425
12,5775.08,1.7068,1.74285,1.45998,0.49284,0.5157,0.44805,0.23002,1.80292,1.91568,1.54436,0.0003425,0.0003425,0.0003425
13,6258.37,1.68401,1.7012,1.44716,0.48365,0.50932,0.46075,0.23639,1.78917,1.81639,1.50759,0.00026,0.00026,0.00026
14,6744.01,1.65597,1.65691,1.42254,0.41742,0.54792,0.46402,0.2507,1.78096,1.79958,1.50891,0.0001775,0.0001775,0.0001775
15,7226.22,1.65379,1.64885,1.42118,0.50938,0.46952,0.45996,0.24359,1.80463,1.78824,1.51385,9.5e-05,9.5e-05,9.5e-05
