epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.072,1.90455,2.45856,1.6256,0.82515,0.36667,0.34069,0.15738,2.01101,2.61828,1.74032,0.0704918,0.00327869,0.00327869
2,732.11,1.85111,2.29035,1.61348,0.71689,0.38814,0.34173,0.15764,2.03432,2.80256,1.71221,0.0403048,0.006425,0.006425
3,1095.04,1.85561,2.24812,1.56967,0.50571,0.36797,0.34277,0.15495,2.10835,3.0884,1.86062,0.00992918,0.00938273,0.00938273
4,1462.93,1.92568,2.31666,1.61728,0.23508,0.15636,0.14372,0.07164,2.62677,3.4992,2.30373,0.00915143,0.00915143,0.00915143
5,1828.81,1.89145,2.21065,1.5897,0.7793,0.00676,0.01582,0.00797,3.4183,5.26389,2.97276,0.00886857,0.00886857,0.00886857
6,2193.48,1.8716,2.11792,1.57345,0.297,0.34524,0.28967,0.13617,2.26231,2.63856,1.92597,0.00858571,0.00858571,0.00858571
7,2556.87,1.84739,2.08692,1.56819,0.39216,0.42563,0.40476,0.20033,1.97607,2.3331,1.66113,0.00830286,0.00830286,0.00830286
8,2917.49,1.84187,2.01807,1.55035,0.52804,0.40581,0.38777,0.19346,1.92144,2.25254,1.64945,0.00802,0.00802,0.00802
9,3278.22,1.81898,1.96006,1.53884,0.60735,0.40368,0.41589,0.19124,2.05989,2.43947,1.78487,0.00773714,0.00773714,0.00773714
10,3638.91,1.81499,1.89156,1.52442,0.41112,0.42476,0.38828,0.19755,1.9442,2.19519,1.70574,0.00745429,0.00745429,0.00745429
11,3998.83,1.79992,1.9154,1.52086,0.86099,0.38421,0.42014,0.22679,1.85241,2.11229,1.6103,0.00717143,0.00717143,0.00717143
12,4359.71,1.77598,1.84277,1.49858,0.33666,0.47175,0.41478,0.2235,1.92629,2.31906,1.70736,0.00688857,0.00688857,0.00688857
13,4719.84,1.75127,1.80503,1.49377,0.55288,0.45973,0.43491,0.2188,1.91945,2.048,1.65493,0.00660571,0.00660571,0.00660571
14,5081.31,1.7668,1.80519,1.50208,0.61683,0.48928,0.44348,0.22385,1.87074,2.00581,1.63114,0.00632286,0.00632286,0.00632286
15,5451.58,1.75648,1.77618,1.48757,0.43307,0.44634,0.44837,0.23136,1.8984,2.11125,1.62748,0.00604,0.00604,0.00604
16,5816,1.7341,1.76616,1.48859,0.47377,0.46945,0.45241,0.24456,1.86769,1.97207,1.57408,0.00575714,0.00575714,0.00575714
17,6181.55,1.7354,1.72967,1.47574,0.40141,0.48046,0.40713,0.2078,1.97242,1.99608,1.65986,0.00547429,0.00547429,0.00547429
18,6564.92,1.74806,1.72048,1.48502,0.52584,0.4104,0.41949,0.21598,1.96723,2.07885,1.66774,0.00519143,0.00519143,0.00519143
19,6942.92,1.73022,1.71465,1.4571,0.85112,0.407,0.4351,0.21614,1.89221,1.9986,1.60199,0.00490857,0.00490857,0.00490857
20,7305.33,1.70274,1.70001,1.47001,0.43167,0.51474,0.44015,0.22462,2.00577,1.9068,1.73118,0.00462571,0.00462571,0.00462571
21,7666.38,1.70849,1.67868,1.45791,0.58839,0.47888,0.47147,0.25197,1.85399,1.8191,1.56942,0.00434286,0.00434286,0.00434286
22,8029.26,1.68402,1.66729,1.44399,0.51171,0.46847,0.46654,0.24813,1.89785,1.91988,1.59827,0.00406,0.00406,0.00406
23,8388.81,1.66385,1.64827,1.43836,0.5065,0.48673,0.47188,0.24735,1.90131,1.91059,1.59594,0.00377714,0.00377714,0.00377714
24,8751.01,1.6645,1.6244,1.43077,0.51971,0.50376,0.46241,0.24708,1.85873,1.87431,1.5942,0.00349429,0.00349429,0.00349429
25,9114.33,1.65853,1.63444,1.42774,0.44216,0.5156,0.48039,0.24954,1.88089,1.76896,1.55803,0.00321143,0.00321143,0.00321143
26,9473.76,1.63342,1.59912,1.44874,0.66272,0.46541,0.38994,0.20554,1.84079,1.93061,1.57948,0.00292857,0.00292857,0.00292857
