epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.856,2.43107,5.0307,1.82155,0.8401,0.10811,0.0827,0.03757,1.85463,4.39132,1.47006,0.000149981,0.000149981,0.000149981
2,398.408,1.88041,2.55902,1.39583,0.75164,0.34826,0.31321,0.13111,1.97037,2.67622,1.51127,0.000281739,0.000281739,0.000281739
3,596.71,1.72941,2.05036,1.32232,0.72803,0.39318,0.27243,0.13477,1.72093,2.29776,1.39785,0.000393477,0.000393477,0.000393477
4,794.914,1.63272,1.89415,1.26486,0.75326,0.37276,0.35299,0.18516,1.60547,2.12786,1.31075,0.00036491,0.00036491,0.00036491
5,993.185,1.61128,1.77685,1.25165,0.79228,0.38607,0.36013,0.19014,1.58139,2.00072,1.31659,0.00033488,0.00033488,0.00033488
6,1190.56,1.53389,1.84234,1.25935,0.55412,0.3824,0.37026,0.18941,1.61075,1.96555,1.30349,0.00030485,0.00030485,0.00030485
7,1390.2,1.5121,1.71148,1.23818,0.60399,0.35633,0.40015,0.21665,1.57228,1.81232,1.23648,0.00027482,0.00027482,0.00027482
8,1589.99,1.47986,1.59435,1.21778,0.55656,0.43156,0.40544,0.21962,1.5777,1.85009,1.2446,0.00024479,0.00024479,0.00024479
9,1788.09,1.47837,1.55333,1.20156,0.58649,0.37251,0.39617,0.21445,1.52566,1.65812,1.22476,0.00021476,0.00021476,0.00021476
10,1985.24,1.47325,1.50457,1.18899,0.58399,0.36381,0.37469,0.20435,1.49564,1.82032,1.22806,0.00018473,0.00018473,0.00018473
11,2183.18,1.44098,1.46287,1.18394,0.56705,0.42719,0.40551,0.22405,1.48922,1.62092,1.19983,0.0001547,0.0001547,0.0001547
12,2382.71,1.43155,1.41215,1.1712,0.59166,0.40475,0.40032,0.22323,1.46918,1.58227,1.19466,0.00012467,0.00012467,0.00012467
13,2581.15,1.41169,1.40928,1.16203,0.56805,0.41656,0.39149,0.21747,1.48772,1.60345,1.20736,9.464e-05,9.464e-05,9.464e-05
14,2780.12,1.38513,1.40012,1.1435,0.60184,0.38997,0.39436,0.22146,1.47696,1.61913,1.18982,6.461e-05,6.461e-05,6.461e-05
15,2983.09,1.39502,1.3829,1.14868,0.58726,0.40038,0.39839,0.22492,1.46452,1.53766,1.18058,3.458e-05,3.458e-05,3.458e-05
