epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.468,2.50047,4.57401,2.1776,0.00116,0.24961,0.08173,0.03184,2.08647,4.44893,1.84474,0.0704918,0.00327869,0.00327869
2,725.61,2.02794,3.35826,1.77783,0.73167,0.15809,0.17893,0.06132,2.3367,3.86874,1.95175,0.0400554,0.00617563,0.00617563
3,1087.82,1.97294,2.75587,1.67793,0.43309,0.17782,0.12695,0.04648,2.68747,4.04833,2.37687,0.00917902,0.00863257,0.00863257
