epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.695,1.81276,2.26651,1.50905,0.80625,0.09714,0.13983,0.06248,1.98992,2.72736,1.91848,0.0003015,0.0003015,0.0003015
2,1134.74,1.87827,2.05786,1.55508,0.73083,0.19932,0.17835,0.08797,1.83936,2.15282,1.71418,0.000484809,0.000484809,0.000484809
3,1697.49,1.83188,1.92181,1.51817,0.85907,0.22775,0.19548,0.0901,1.84109,2.31019,1.74574,0.00054813,0.00054813,0.00054813
4,2259.12,1.74802,1.87283,1.50289,0.89775,0.21339,0.20371,0.10764,1.79721,1.8683,1.63236,0.000369054,0.000369054,0.000369054
5,2822.67,1.68351,1.7324,1.43245,0.88552,0.22759,0.2288,0.12001,1.70464,1.92536,1.57206,0.000189072,0.000189072,0.000189072
