epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.953,2.33971,3.48983,2.00001,0.01329,0.18581,0.05606,0.0125,2.45256,4.57174,2.47021,0.067541,0.000327869,0.000327869
2,725.224,2.06466,2.47062,1.80421,0.14664,0.49502,0.29844,0.12912,2.29375,3.62559,1.99129,0.0344973,0.000617563,0.000617563
3,1087.7,1.96669,2.19396,1.74039,0.74329,0.2562,0.24109,0.11312,2.2523,2.94585,2.02371,0.0014097,0.000863257,0.000863257
4,1448.61,1.9655,2.11345,1.74941,0.5989,0.37505,0.35912,0.18138,2.00243,2.29544,1.95672,0.000802,0.000802,0.000802
5,1810.28,1.88082,2.01154,1.66843,0.33686,0.42115,0.36283,0.17533,2.02245,2.34704,1.90511,0.000736,0.000736,0.000736
6,2171.62,1.86043,2.06062,1.80158,0.85446,0.39081,0.43304,0.22304,1.95475,2.03856,1.87008,0.00067,0.00067,0.00067
7,2531.66,1.85471,1.95003,1.7724,0.5175,0.45042,0.41549,0.20662,1.88938,2.17908,1.84644,0.000604,0.000604,0.000604
8,2890.37,1.81051,1.86518,1.72098,0.39368,0.50668,0.42155,0.21795,1.85344,1.91008,1.78366,0.000538,0.000538,0.000538
9,3251.93,1.77278,1.79265,1.70765,0.67726,0.45189,0.44814,0.2323,1.84372,1.92264,1.80892,0.000472,0.000472,0.000472
10,3615.33,1.75195,1.75755,1.68948,0.66294,0.46123,0.45359,0.24192,1.88316,1.87724,1.79838,0.000406,0.000406,0.000406
11,3975.75,1.73934,1.72012,1.67323,0.41767,0.51654,0.45794,0.23896,1.86515,1.84347,1.82467,0.00034,0.00034,0.00034
12,4339.27,1.70724,1.67507,1.63554,0.51767,0.47704,0.45952,0.24315,1.81815,1.81489,1.73148,0.000274,0.000274,0.000274
13,4704.79,1.71917,1.64099,1.63333,0.51783,0.48148,0.47865,0.2609,1.82319,1.8347,1.74886,0.000208,0.000208,0.000208
14,5069.48,1.68782,1.613,1.62587,0.4664,0.4955,0.47268,0.25891,1.84025,1.72901,1.74978,0.000142,0.000142,0.000142
15,5428.8,1.64651,1.58072,1.59357,0.74731,0.487,0.48303,0.26083,1.80158,1.70847,1.72057,7.6e-05,7.6e-05,7.6e-05
