epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,680.16,2.14059,5.4079,2.00041,0.86673,0.10995,0.09439,0.0423,1.9307,5.39505,1.86926,0.000255064,0.000255064,0.000255064
2,1350.6,1.80366,3.78191,1.67859,0.85751,0.15706,0.12888,0.06076,1.83519,4.43032,1.78497,0.000410141,0.000410141,0.000410141
3,1990.79,1.75009,3.32236,1.63136,0.89319,0.17383,0.14637,0.06852,1.84369,4.24586,1.78761,0.00046371,0.00046371,0.00046371
4,2572.56,1.70791,3.05948,1.60052,0.92071,0.15728,0.18555,0.09911,1.69193,3.24128,1.66899,0.000312214,0.000312214,0.000312214
5,3144.69,1.62374,2.75371,1.51857,0.91015,0.16838,0.17618,0.09537,1.65092,3.2106,1.61465,0.000159952,0.000159952,0.000159952
