epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.928,2.41741,3.75203,1.74741,0.79846,0.24373,0.28809,0.11942,2.14617,2.97907,1.54749,0.000411392,0.000411392,0.000411392
2,333.264,2.04767,2.28885,1.45853,0.56213,0.34726,0.32026,0.15317,2.0488,2.35717,1.52641,0.000773407,0.000773407,0.000773407
3,503.432,2.003,2.10552,1.4357,0.39227,0.37716,0.33145,0.14674,2.06457,2.13347,1.48186,0.00108042,0.00108042,0.00108042
4,675.144,1.94863,2.00267,1.41286,0.34288,0.38297,0.36384,0.17484,2.01261,2.12028,1.54342,0.0010025,0.0010025,0.0010025
5,841.683,1.89524,1.92189,1.37452,0.37211,0.39995,0.35548,0.16587,1.96417,1.94336,1.4183,0.00092,0.00092,0.00092
6,1008.18,1.8496,1.91244,1.38934,0.7066,0.41545,0.37588,0.19113,1.88873,1.85616,1.38521,0.0008375,0.0008375,0.0008375
7,1168.08,1.8134,1.77888,1.36663,0.62351,0.40095,0.3979,0.18676,1.93586,1.85899,1.45573,0.000755,0.000755,0.000755
8,1326.59,1.78833,1.70841,1.36352,0.58936,0.43312,0.41462,0.21735,1.82271,1.78021,1.35129,0.0006725,0.0006725,0.0006725
9,1489.83,1.77135,1.6437,1.35295,0.81529,0.41243,0.38262,0.2014,1.79399,1.67758,1.33713,0.00059,0.00059,0.00059
10,1653.09,1.74367,1.63417,1.31958,0.55852,0.47279,0.42771,0.22031,1.79586,1.67406,1.30204,0.0005075,0.0005075,0.0005075
11,1818.37,1.71163,1.58874,1.29868,0.4187,0.46561,0.41003,0.21574,1.76001,1.58213,1.31021,0.000425,0.000425,0.000425
12,1981.36,1.70908,1.52487,1.30075,0.41242,0.48874,0.44163,0.23598,1.78098,1.54547,1.31203,0.0003425,0.0003425,0.0003425
13,2143.35,1.67598,1.50359,1.28297,0.38945,0.48274,0.439,0.23307,1.7928,1.54267,1.31308,0.00026,0.00026,0.00026
14,2302.51,1.63953,1.45619,1.25976,0.44474,0.48914,0.4448,0.24003,1.73405,1.53342,1.28408,0.0001775,0.0001775,0.0001775
15,2460.63,1.65616,1.4546,1.26512,0.4793,0.48506,0.44606,0.24209,1.7322,1.49592,1.27567,9.5e-05,9.5e-05,9.5e-05
