epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.07,1.77361,2.34486,1.32954,0.76518,0.38109,0.30683,0.15361,1.65422,2.45251,1.28855,0.000150262,0.000150262,0.000150262
2,217.537,1.69738,2.09049,1.27146,0.79817,0.36804,0.33894,0.17644,1.68984,2.23367,1.28443,0.000242147,0.000242147,0.000242147
3,324.912,1.68859,2.01467,1.27079,0.75097,0.41986,0.33624,0.16433,1.62586,2.19001,1.27203,0.000273972,0.000273972,0.000273972
4,431.453,1.61036,1.87147,1.23565,0.8234,0.36001,0.36595,0.19136,1.56293,1.96231,1.23016,0.00018473,0.00018473,0.00018473
5,539.791,1.55075,1.72244,1.18865,0.53656,0.42186,0.37282,0.20255,1.54204,1.89538,1.21105,9.464e-05,9.464e-05,9.464e-05
