epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.564,2.47494,5.15621,2.14659,0.92509,0.06628,0.03896,0.01761,2.38937,5.06003,2.19576,0.000150916,0.000150916,0.000150916
2,747.458,2.12231,3.85285,1.81481,0.88633,0.08411,0.06821,0.03347,2.1747,4.15291,1.92497,0.000242671,0.000242671,0.000242671
3,1118.9,2.0431,3.44792,1.71154,0.8725,0.08193,0.08518,0.03913,2.09774,4.11933,1.83453,0.000274367,0.000274367,0.000274367
4,1484.92,1.96769,3.2461,1.66535,0.79322,0.11337,0.10649,0.05121,2.03399,3.64436,1.81014,0.00018473,0.00018473,0.00018473
5,1843.69,1.90154,3.07757,1.63051,0.61972,0.12913,0.12192,0.06051,2.01211,3.48845,1.78673,9.464e-05,9.464e-05,9.464e-05
