epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.557,2.25191,4.23447,2.00091,0.87361,0.19177,0.27028,0.11952,1.95455,4.04393,1.636,0.000468394,0.000468394,0.000468394
2,930.93,1.90811,2.91437,1.65443,0.7004,0.34433,0.33708,0.13448,2.01288,3.418,1.77088,0.000882376,0.000882376,0.000882376
3,1365.71,1.80709,2.48168,1.59735,0.38783,0.48612,0.4565,0.23408,1.89543,2.9704,1.7234,0.00123348,0.00123348,0.00123348
4,1799.18,1.81184,2.3562,1.59596,0.63437,0.44428,0.34147,0.16832,1.81689,2.61927,1.65156,0.00114606,0.00114606,0.00114606
5,2236.22,1.74576,2.13469,1.51873,0.40569,0.47564,0.38261,0.1831,1.89051,2.62137,1.67221,0.00105174,0.00105174,0.00105174
6,2665.45,1.7258,2.06433,1.52018,0.77561,0.5079,0.49321,0.26184,1.80793,2.23994,1.56898,0.00095743,0.00095743,0.00095743
7,3102.64,1.71957,1.96343,1.52285,0.77956,0.51667,0.48939,0.2621,1.7721,2.06846,1.58403,0.000863116,0.000863116,0.000863116
8,3556.17,1.67871,1.85009,1.47469,0.69815,0.57305,0.54345,0.28704,1.69696,1.91953,1.45842,0.000768802,0.000768802,0.000768802
9,4046.19,1.67096,1.74935,1.4869,0.78168,0.56245,0.54625,0.29276,1.7212,1.81607,1.46361,0.000674488,0.000674488,0.000674488
10,4533.19,1.62429,1.67582,1.45307,0.74411,0.5496,0.5107,0.26396,1.66867,1.79639,1.49546,0.000580174,0.000580174,0.000580174
11,4995.47,1.61621,1.61505,1.44194,0.83542,0.52592,0.57,0.31115,1.64155,1.69793,1.415,0.00048586,0.00048586,0.00048586
12,5431.84,1.57929,1.57001,1.42316,0.63456,0.60299,0.58309,0.33368,1.6788,1.64107,1.44562,0.000391546,0.000391546,0.000391546
13,5859.04,1.5699,1.54495,1.41172,0.61117,0.62984,0.60789,0.33323,1.61798,1.57337,1.40961,0.000297232,0.000297232,0.000297232
14,6305.06,1.53146,1.46879,1.38712,0.73219,0.60768,0.60418,0.35438,1.56735,1.51424,1.35934,0.000202918,0.000202918,0.000202918
15,6733.8,1.52282,1.45092,1.36807,0.61783,0.64792,0.61909,0.35972,1.56831,1.5033,1.37641,0.000108604,0.000108604,0.000108604
