epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.693,1.76676,1.8945,1.47396,0.46959,0.46466,0.4253,0.22952,1.87517,1.96049,1.5222,0.00040625,0.00040625,0.00040625
2,1022.73,1.77806,1.84573,1.4785,0.42427,0.46957,0.41834,0.21862,1.88537,1.88647,1.56813,0.000768604,0.000768604,0.000768604
3,1529.35,1.7494,1.83354,1.46833,0.42456,0.36329,0.39301,0.19188,2.07879,2.26518,1.70872,0.00107596,0.00107596,0.00107596
4,2054.45,1.78847,1.83076,1.50397,0.44308,0.42207,0.37589,0.20474,1.97953,2.18521,1.6097,0.0010025,0.0010025,0.0010025
5,2576.83,1.74091,1.81176,1.4686,0.64527,0.3849,0.4226,0.21145,1.85559,2.05186,1.62757,0.00092,0.00092,0.00092
6,3095.78,1.75599,1.8216,1.51249,0.40961,0.39263,0.34377,0.17376,1.96351,2.14803,1.70553,0.0008375,0.0008375,0.0008375
