epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.685,2.45052,4.70445,1.81634,0.76491,0.17036,0.23132,0.10628,1.90117,3.4586,1.48714,0.000149981,0.000149981,0.000149981
2,311.415,1.86179,2.40693,1.35196,0.77433,0.31947,0.2996,0.14697,1.80542,2.66201,1.34995,0.000241922,0.000241922,0.000241922
3,464.504,1.71579,2.07012,1.26901,0.55585,0.35613,0.3374,0.16558,1.74021,2.19582,1.34423,0.000273802,0.000273802,0.000273802
4,618.123,1.60297,1.88292,1.20984,0.55859,0.37953,0.37127,0.18376,1.56532,2.06817,1.24143,0.00018473,0.00018473,0.00018473
5,772.295,1.5534,1.72386,1.17275,0.5576,0.37259,0.36808,0.20031,1.46971,2.14793,1.19983,9.464e-05,9.464e-05,9.464e-05
